"Leeftijd";"Marges";"Perioden";"Wijken en buurten";"Regioaanduiding/Gemeentenaam (naam)";"Regioaanduiding/Soort regio (omschrijving)";"Regioaanduiding/Codering (code)";"Hoog risico op angst of depressie (%)";"Moeite met rondkomen (%)"
"65 jaar of ouder";"Waarde";"2020";"Landlust Zuid";"Amsterdam                               ";"Buurt     ";"BU03633703          ";"    10.5";"    25.1"
"65 jaar of ouder";"Waarde";"2020";"Erasmusparkbuurt Oost";"Amsterdam                               ";"Buurt     ";"BU03633704          ";"     9.4";"    21.6"
"65 jaar of ouder";"Waarde";"2020";"Gibraltarbuurt";"Amsterdam                               ";"Buurt     ";"BU03633705          ";"    10.4";"    25.9"
"65 jaar of ouder";"Waarde";"2020";"Landlust Noord";"Amsterdam                               ";"Buurt     ";"BU03633706          ";"    12.3";"    26.9"
"65 jaar of ouder";"Waarde";"2020";"Erasmuspark";"Amsterdam                               ";"Wijk      ";"WK036338            ";"    10.7";"    22.1"
"65 jaar of ouder";"Waarde";"2020";"Erasmusparkbuurt West";"Amsterdam                               ";"Buurt     ";"BU03633802          ";"    10.5";"    20.8"
"65 jaar of ouder";"Waarde";"2020";"Robert Scottbuurt Oost";"Amsterdam                               ";"Buurt     ";"BU03633803          ";"    11.0";"    24.9"
"65 jaar of ouder";"Waarde";"2020";"De Kolenkit";"Amsterdam                               ";"Wijk      ";"WK036339            ";"    13.8";"    27.2"
"65 jaar of ouder";"Waarde";"2020";"Robert Scottbuurt West";"Amsterdam                               ";"Buurt     ";"BU03633900          ";"    11.2";"    21.6"
"65 jaar of ouder";"Waarde";"2020";"Laan van Spartaan";"Amsterdam                               ";"Buurt     ";"BU03633901          ";"    11.4";"    26.2"
"65 jaar of ouder";"Waarde";"2020";"Kolenkitbuurt Zuid";"Amsterdam                               ";"Buurt     ";"BU03633902          ";"    14.6";"    27.7"
"65 jaar of ouder";"Waarde";"2020";"Kolenkitbuurt Noord";"Amsterdam                               ";"Buurt     ";"BU03633903          ";"    16.2";"    31.3"
"65 jaar of ouder";"Waarde";"2020";"Geuzenbuurt";"Amsterdam                               ";"Wijk      ";"WK036340            ";"     7.0";"    18.7"
"65 jaar of ouder";"Waarde";"2020";"Geuzenhofbuurt";"Amsterdam                               ";"Buurt     ";"BU03634000          ";"     5.3";"    13.2"
"65 jaar of ouder";"Waarde";"2020";"Trompbuurt";"Amsterdam                               ";"Buurt     ";"BU03634001          ";"     7.3";"    19.5"
"65 jaar of ouder";"Waarde";"2020";"Pieter van der Doesbuurt";"Amsterdam                               ";"Buurt     ";"BU03634002          ";"     7.9";"    21.8"
"65 jaar of ouder";"Waarde";"2020";"Van Galenbuurt";"Amsterdam                               ";"Wijk      ";"WK036341            ";"    10.5";"    27.0"
"65 jaar of ouder";"Waarde";"2020";"John Franklinbuurt";"Amsterdam                               ";"Buurt     ";"BU03634100          ";"     9.8";"    26.8"
"65 jaar of ouder";"Waarde";"2020";"Jan Maijenbuurt";"Amsterdam                               ";"Buurt     ";"BU03634101          ";"    12.2";"    29.2"
"65 jaar of ouder";"Waarde";"2020";"Orteliusbuurt Noord";"Amsterdam                               ";"Buurt     ";"BU03634102          ";"     9.1";"    24.4"
"65 jaar of ouder";"Waarde";"2020";"Mercatorpark";"Amsterdam                               ";"Buurt     ";"BU03634103          ";"       .";"       ."
"65 jaar of ouder";"Waarde";"2020";"Hoofdweg e.o.";"Amsterdam                               ";"Wijk      ";"WK036342            ";"     9.9";"    25.1"
"65 jaar of ouder";"Waarde";"2020";"Balboaplein e.o.";"Amsterdam                               ";"Buurt     ";"BU03634200          ";"    11.4";"    29.1"
"65 jaar of ouder";"Waarde";"2020";"Columbusplein e.o.";"Amsterdam                               ";"Buurt     ";"BU03634201          ";"    10.3";"    24.9"
"65 jaar of ouder";"Waarde";"2020";"Orteliusbuurt Midden";"Amsterdam                               ";"Buurt     ";"BU03634202          ";"     8.8";"    24.3"
"65 jaar of ouder";"Waarde";"2020";"Orteliusbuurt Zuid";"Amsterdam                               ";"Buurt     ";"BU03634203          ";"     8.1";"    20.6"
"65 jaar of ouder";"Waarde";"2020";"Westindische Buurt";"Amsterdam                               ";"Wijk      ";"WK036343            ";"     6.8";"    18.2"
"65 jaar of ouder";"Waarde";"2020";"Paramariboplein e.o.";"Amsterdam                               ";"Buurt     ";"BU03634300          ";"     7.0";"    18.3"
"65 jaar of ouder";"Waarde";"2020";"Postjeskade e.o.";"Amsterdam                               ";"Buurt     ";"BU03634301          ";"     6.6";"    18.1"
"65 jaar of ouder";"Waarde";"2020";"Hoofddorppleinbuurt";"Amsterdam                               ";"Wijk      ";"WK036344            ";"     5.5";"    14.6"
"65 jaar of ouder";"Waarde";"2020";"Surinamepleinbuurt";"Amsterdam                               ";"Buurt     ";"BU03634400          ";"     4.5";"    10.7"
"65 jaar of ouder";"Waarde";"2020";"Westlandgrachtbuurt";"Amsterdam                               ";"Buurt     ";"BU03634401          ";"     5.9";"    15.1"
"65 jaar of ouder";"Waarde";"2020";"Aalsmeerwegbuurt West";"Amsterdam                               ";"Buurt     ";"BU03634402          ";"     6.5";"    17.5"
"65 jaar of ouder";"Waarde";"2020";"Aalsmeerwegbuurt Oost";"Amsterdam                               ";"Buurt     ";"BU03634403          ";"     5.7";"    15.6"
"65 jaar of ouder";"Waarde";"2020";"Legmeerpleinbuurt";"Amsterdam                               ";"Buurt     ";"BU03634404          ";"     5.0";"    14.6"
"65 jaar of ouder";"Waarde";"2020";"Bedrijventerrein Schinkel";"Amsterdam                               ";"Buurt     ";"BU03634405          ";"     2.3";"     4.8"
"65 jaar of ouder";"Waarde";"2020";"Schinkelbuurt";"Amsterdam                               ";"Wijk      ";"WK036345            ";"     6.0";"    18.0"
"65 jaar of ouder";"Waarde";"2020";"Schinkelbuurt Noord";"Amsterdam                               ";"Buurt     ";"BU03634500          ";"     5.6";"    16.8"
"65 jaar of ouder";"Waarde";"2020";"Schinkelbuurt Zuid";"Amsterdam                               ";"Buurt     ";"BU03634501          ";"     6.4";"    19.1"
"65 jaar of ouder";"Waarde";"2020";"Willemspark";"Amsterdam                               ";"Wijk      ";"WK036346            ";"     3.0";"     7.5"
"65 jaar of ouder";"Waarde";"2020";"Valeriusbuurt Oost";"Amsterdam                               ";"Buurt     ";"BU03634600          ";"     2.5";"     5.3"
"65 jaar of ouder";"Waarde";"2020";"Valeriusbuurt West";"Amsterdam                               ";"Buurt     ";"BU03634601          ";"     3.3";"     9.0"
"65 jaar of ouder";"Waarde";"2020";"Willemsparkbuurt Noord";"Amsterdam                               ";"Buurt     ";"BU03634602          ";"     2.7";"     7.0"
"65 jaar of ouder";"Waarde";"2020";"Vondelpark West";"Amsterdam                               ";"Buurt     ";"BU03634603          ";"       .";"       ."
