"Leeftijd";"Marges";"Perioden";"Wijken en buurten";"Regioaanduiding/Gemeentenaam (naam)";"Regioaanduiding/Soort regio (omschrijving)";"Regioaanduiding/Codering (code)";"Hoog risico op angst of depressie (%)";"Moeite met rondkomen (%)"
"18 tot 65 jaar";"Waarde";"2012";"Leliegracht e.o.";"Amsterdam                               ";"Buurt     ";"BU03630201          ";"     5.2";"    25.5"
"18 tot 65 jaar";"Waarde";"2012";"Felix Meritisbuurt";"Amsterdam                               ";"Buurt     ";"BU03630202          ";"     4.8";"    23.7"
"18 tot 65 jaar";"Waarde";"2012";"Leidsegracht Noord";"Amsterdam                               ";"Buurt     ";"BU03630203          ";"     4.8";"    24.5"
"18 tot 65 jaar";"Waarde";"2012";"Grachtengordel-Zuid";"Amsterdam                               ";"Wijk      ";"WK036303            ";"     5.2";"    24.8"
"18 tot 65 jaar";"Waarde";"2012";"Spiegelbuurt";"Amsterdam                               ";"Buurt     ";"BU03630300          ";"     5.3";"    22.5"
"18 tot 65 jaar";"Waarde";"2012";"Gouden Bocht";"Amsterdam                               ";"Buurt     ";"BU03630301          ";"     4.3";"    20.7"
"18 tot 65 jaar";"Waarde";"2012";"Van Loonbuurt";"Amsterdam                               ";"Buurt     ";"BU03630302          ";"     4.8";"    22.7"
"18 tot 65 jaar";"Waarde";"2012";"Amstelveldbuurt";"Amsterdam                               ";"Buurt     ";"BU03630303          ";"     4.9";"    23.1"
"18 tot 65 jaar";"Waarde";"2012";"Rembrandtpleinbuurt";"Amsterdam                               ";"Buurt     ";"BU03630304          ";"     6.2";"    30.8"
"18 tot 65 jaar";"Waarde";"2012";"Reguliersbuurt";"Amsterdam                               ";"Buurt     ";"BU03630305          ";"     6.4";"    33.6"
"18 tot 65 jaar";"Waarde";"2012";"Leidsegracht Zuid";"Amsterdam                               ";"Buurt     ";"BU03630306          ";"     5.0";"    25.4"
"18 tot 65 jaar";"Waarde";"2012";"Nieuwmarkt/Lastage";"Amsterdam                               ";"Wijk      ";"WK036304            ";"     6.3";"    31.2"
"18 tot 65 jaar";"Waarde";"2012";"Oosterdokseiland";"Amsterdam                               ";"Buurt     ";"BU03630400          ";"     4.6";"    25.1"
"18 tot 65 jaar";"Waarde";"2012";"Scheepvaarthuisbuurt";"Amsterdam                               ";"Buurt     ";"BU03630401          ";"     4.6";"    25.3"
"18 tot 65 jaar";"Waarde";"2012";"Rapenburg";"Amsterdam                               ";"Buurt     ";"BU03630402          ";"     6.6";"    32.7"
"18 tot 65 jaar";"Waarde";"2012";"Lastage";"Amsterdam                               ";"Buurt     ";"BU03630403          ";"     6.0";"    31.4"
"18 tot 65 jaar";"Waarde";"2012";"Nieuwmarkt";"Amsterdam                               ";"Buurt     ";"BU03630404          ";"     7.5";"    37.0"
"18 tot 65 jaar";"Waarde";"2012";"Uilenburg";"Amsterdam                               ";"Buurt     ";"BU03630405          ";"     6.3";"    30.0"
"18 tot 65 jaar";"Waarde";"2012";"Valkenburg";"Amsterdam                               ";"Buurt     ";"BU03630406          ";"     5.2";"    24.8"
"18 tot 65 jaar";"Waarde";"2012";"Zuiderkerkbuurt";"Amsterdam                               ";"Buurt     ";"BU03630407          ";"     6.6";"    32.9"
"18 tot 65 jaar";"Waarde";"2012";"Waterloopleinbuurt";"Amsterdam                               ";"Buurt     ";"BU03630408          ";"     6.5";"    30.6"
"18 tot 65 jaar";"Waarde";"2012";"Haarlemmerbuurt";"Amsterdam                               ";"Wijk      ";"WK036305            ";"     6.6";"    30.9"
"18 tot 65 jaar";"Waarde";"2012";"Westerdokseiland";"Amsterdam                               ";"Buurt     ";"BU03630500          ";"     5.6";"    24.9"
"18 tot 65 jaar";"Waarde";"2012";"Haarlemmerbuurt Oost";"Amsterdam                               ";"Buurt     ";"BU03630501          ";"     6.1";"    29.6"
"18 tot 65 jaar";"Waarde";"2012";"Haarlemmerbuurt West";"Amsterdam                               ";"Buurt     ";"BU03630502          ";"     7.1";"    33.8"
"18 tot 65 jaar";"Waarde";"2012";"Westelijke eilanden";"Amsterdam                               ";"Buurt     ";"BU03630503          ";"     6.7";"    31.5"
"18 tot 65 jaar";"Waarde";"2012";"Planciusbuurt Noord";"Amsterdam                               ";"Buurt     ";"BU03630505          ";"     7.6";"    36.3"
"18 tot 65 jaar";"Waarde";"2012";"Planciusbuurt Zuid";"Amsterdam                               ";"Buurt     ";"BU03630506          ";"     9.8";"    42.0"
"18 tot 65 jaar";"Waarde";"2012";"Jordaan";"Amsterdam                               ";"Wijk      ";"WK036306            ";"     6.8";"    32.3"
"18 tot 65 jaar";"Waarde";"2012";"Driehoekbuurt";"Amsterdam                               ";"Buurt     ";"BU03630600          ";"     6.9";"    32.9"
